neighborhood,group_name,type,website,contact_email,description
Civic Center,Downtown Civic Center Merchants & Business Alliance,Business Group,https://example.org/downtownciviccenter-merchants,contact@downtownciviccentermerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Civic Center."
Clarendon Heights,Clarendon Heights Neighborhood Association,Association,https://example.org/clarendonheights-neighborhood,info@clarendonheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Clarendon Heights."
Clarendon Heights,Friends of Clarendon Heights,Community Group,https://example.org/friends-of-clarendonheights,hello@friendsofclarendonheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Clarendon Heights."
Cole Valley,Cole Valley Neighborhood Association,Association,https://example.org/colevalley-neighborhood,info@colevalleycommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Cole Valley."
Cole Valley,Friends of Cole Valley,Community Group,https://example.org/friends-of-colevalley,hello@friendsofcolevalley.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Cole Valley."
Corona Heights,Corona Heights Neighborhood Association,Association,https://example.org/coronaheights-neighborhood,info@coronaheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Corona Heights."
Corona Heights,Friends of Corona Heights,Community Group,https://example.org/friends-of-coronaheights,hello@friendsofcoronaheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Corona Heights."
Cow Hollow,Cow Hollow Neighborhood Association,Association,https://example.org/cowhollow-neighborhood,info@cowhollowcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Cow Hollow."
Cow Hollow,Friends of Cow Hollow,Community Group,https://example.org/friends-of-cowhollow,hello@friendsofcowhollow.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Cow Hollow."
Crocker Amazon,Crocker Amazon Neighborhood Association,Association,https://example.org/crockeramazon-assoc,info@crockeramazonassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Crocker Amazon."
Crocker Amazon,Crocker Amazon Merchants & Business Alliance,Business Group,https://example.org/crockeramazon-merchants,contact@crockeramazonmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Crocker Amazon."
Diamond Heights,Diamond Heights Neighborhood Association,Association,https://example.org/diamondheights-assoc,info@diamondheightsassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Diamond Heights."
Diamond Heights,Diamond Heights Merchants & Business Alliance,Business Group,https://example.org/diamondheights-merchants,contact@diamondheightsmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Diamond Heights."
Dogpatch,Dogpatch Neighborhood Association,Association,https://example.org/dogpatch-neighborhood,info@dogpatchcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Dogpatch."
Dogpatch,Friends of Dogpatch,Community Group,https://example.org/friends-of-dogpatch,hello@friendsofdogpatch.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Dogpatch."
Dolores Heights,Dolores Heights Neighborhood Association,Association,https://example.org/doloresheights-neighborhood,info@doloresheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Dolores Heights."
Dolores Heights,Friends of Dolores Heights,Community Group,https://example.org/friends-of-doloresheights,hello@friendsofdoloresheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Dolores Heights."
Downtown / Union Square,Downtown Civic Center Neighborhood Association,Association,https://example.org/downtownciviccenter-assoc,info@downtownciviccenterassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Downtown / Union Square."
Downtown / Union Square,Downtown Civic Center Merchants & Business Alliance,Business Group,https://example.org/downtownciviccenter-merchants,contact@downtownciviccentermerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Downtown / Union Square."
Duboce Triangle,Duboce Triangle Neighborhood Association,Association,https://example.org/dubocetriangle-neighborhood,info@dubocetrianglecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Duboce Triangle."
Duboce Triangle,Friends of Duboce Triangle,Community Group,https://example.org/friends-of-dubocetriangle,hello@friendsofdubocetriangle.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Duboce Triangle."
Eureka Valley,Eureka Valley Neighborhood Association,Association,https://example.org/eurekavalley-neighborhood,info@eurekavalleycommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Eureka Valley."
Eureka Valley,Friends of Eureka Valley,Community Group,https://example.org/friends-of-eurekavalley,hello@friendsofeurekavalley.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Eureka Valley."
Excelsior,Excelsior Neighborhood Association,Association,https://example.org/excelsior-assoc,info@excelsiorassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Excelsior."
Excelsior,Excelsior Merchants & Business Alliance,Business Group,https://example.org/excelsior-merchants,contact@excelsiormerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Excelsior."
Fairmount,Fairmount Neighborhood Association,Association,https://example.org/fairmount-neighborhood,info@fairmountcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Fairmount."
Fairmount,Friends of Fairmount,Community Group,https://example.org/friends-of-fairmount,hello@friendsoffairmount.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Fairmount."
Financial District,Financial District Neighborhood Association,Association,https://example.org/financialdistrict-assoc,info@financialdistrictassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Financial District."
Financial District,Financial District Merchants & Business Alliance,Business Group,https://example.org/financialdistrict-merchants,contact@financialdistrictmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Financial District."
Fishermans Wharf,Fishermans Wharf Neighborhood Association,Association,https://example.org/fishermanswharf-neighborhood,info@fishermanswharfcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Fishermans Wharf."
Fishermans Wharf,Friends of Fishermans Wharf,Community Group,https://example.org/friends-of-fishermanswharf,hello@friendsoffishermanswharf.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Fishermans Wharf."
Forest Hill,Forest Hill Neighborhood Association,Association,https://example.org/foresthill-neighborhood,info@foresthillcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Forest Hill."
Forest Hill,Friends of Forest Hill,Community Group,https://example.org/friends-of-foresthill,hello@friendsofforesthill.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Forest Hill."
Forest Knolls,Forest Knolls Neighborhood Association,Association,https://example.org/forestknolls-neighborhood,info@forestknollscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Forest Knolls."
Forest Knolls,Friends of Forest Knolls,Community Group,https://example.org/friends-of-forestknolls,hello@friendsofforestknolls.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Forest Knolls."
Glen Park,Glen Park Neighborhood Association,Association,https://example.org/glenpark-assoc,info@glenparkassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Glen Park."
Glen Park,Glen Park Merchants & Business Alliance,Business Group,https://example.org/glenpark-merchants,contact@glenparkmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Glen Park."
Golden Gate Heights,Golden Gate Heights Neighborhood Association,Association,https://example.org/goldengateheights-neighborhood,info@goldengateheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Golden Gate Heights."
Golden Gate Heights,Friends of Golden Gate Heights,Community Group,https://example.org/friends-of-goldengateheights,hello@friendsofgoldengateheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Golden Gate Heights."
Golden Gate Park,Golden Gate Park Neighborhood Association,Association,https://example.org/goldengatepark-assoc,info@goldengateparkassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Golden Gate Park."
Golden Gate Park,Golden Gate Park Merchants & Business Alliance,Business Group,https://example.org/goldengatepark-merchants,contact@goldengateparkmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Golden Gate Park."
Haight Ashbury,Haight Ashbury Neighborhood Association,Association,https://example.org/haightashbury-assoc,info@haightashburyassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Haight Ashbury."
Haight Ashbury,Haight Ashbury Merchants & Business Alliance,Business Group,https://example.org/haightashbury-merchants,contact@haightashburymerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Haight Ashbury."
Haight Ashbury,Haight Ashbury Neighborhood Council (HANC),Council,https://example.org/hanc,board@hanc-sf.org,"One of SF's oldest neighborhood advocacy groups, focused on environmental sustainability, social justice, and local community voices."
Hayes Valley,Hayes Valley Neighborhood Association,Association,https://example.org/hayesvalley-neighborhood,info@hayesvalleycommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Hayes Valley."
Hayes Valley,Friends of Hayes Valley,Community Group,https://example.org/friends-of-hayesvalley,hello@friendsofhayesvalley.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Hayes Valley."
Holly Park,Holly Park Neighborhood Association,Association,https://example.org/hollypark-neighborhood,info@hollyparkcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Holly Park."
Holly Park,Friends of Holly Park,Community Group,https://example.org/friends-of-hollypark,hello@friendsofhollypark.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Holly Park."
Hunters Point,Hunters Point Neighborhood Association,Association,https://example.org/hunterspoint-neighborhood,info@hunterspointcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Hunters Point."
Hunters Point,Friends of Hunters Point,Community Group,https://example.org/friends-of-hunterspoint,hello@friendsofhunterspoint.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Hunters Point."
India Basin,India Basin Neighborhood Association,Association,https://example.org/indiabasin-neighborhood,info@indiabasincommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in India Basin."
India Basin,Friends of India Basin,Community Group,https://example.org/friends-of-indiabasin,hello@friendsofindiabasin.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across India Basin."
Ingleside,Ingleside Neighborhood Association,Association,https://example.org/ingleside-neighborhood,info@inglesidecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Ingleside."
Ingleside,Friends of Ingleside,Community Group,https://example.org/friends-of-ingleside,hello@friendsofingleside.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Ingleside."
Ingleside Terraces,Ingleside Terraces Neighborhood Association,Association,https://example.org/inglesideterraces-neighborhood,info@inglesideterracescommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Ingleside Terraces."
Ingleside Terraces,Friends of Ingleside Terraces,Community Group,https://example.org/friends-of-inglesideterraces,hello@friendsofinglesideterraces.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Ingleside Terraces."
Inner Richmond,Inner Richmond Neighborhood Association,Association,https://example.org/innerrichmond-assoc,info@innerrichmondassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Inner Richmond."
Inner Richmond,Inner Richmond Merchants & Business Alliance,Business Group,https://example.org/innerrichmond-merchants,contact@innerrichmondmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Inner Richmond."
Inner Sunset,Inner Sunset Neighborhood Association,Association,https://example.org/innersunset-assoc,info@innersunsetassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Inner Sunset."
Inner Sunset,Inner Sunset Merchants & Business Alliance,Business Group,https://example.org/innersunset-merchants,contact@innersunsetmerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Inner Sunset."
Japantown,Japantown Neighborhood Association,Association,https://example.org/japantown-neighborhood,info@japantowncommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Japantown."
Japantown,Friends of Japantown,Community Group,https://example.org/friends-of-japantown,hello@friendsofjapantown.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Japantown."
Laguna Honda,Laguna Honda Neighborhood Association,Association,https://example.org/lagunahonda-neighborhood,info@lagunahondacommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Laguna Honda."
Laguna Honda,Friends of Laguna Honda,Community Group,https://example.org/friends-of-lagunahonda,hello@friendsoflagunahonda.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Laguna Honda."
Lake Street,Lake Street Neighborhood Association,Association,https://example.org/lakestreet-neighborhood,info@lakestreetcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Lake Street."
Lake Street,Friends of Lake Street,Community Group,https://example.org/friends-of-lakestreet,hello@friendsoflakestreet.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Lake Street."
Lakeshore,Lakeshore Neighborhood Association,Association,https://example.org/lakeshore-assoc,info@lakeshoreassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Lakeshore."
Lakeshore,Lakeshore Merchants & Business Alliance,Business Group,https://example.org/lakeshore-merchants,contact@lakeshoremerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Lakeshore."
Laurel Heights / Jordan Park,Laurel Heights / Jordan Park Neighborhood Association,Association,https://example.org/laurelheightsjordanpark-neighborhood,info@laurelheightsjordanparkcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Laurel Heights / Jordan Park."
Laurel Heights / Jordan Park,Friends of Laurel Heights / Jordan Park,Community Group,https://example.org/friends-of-laurelheightsjordanpark,hello@friendsoflaurelheightsjordanpark.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Laurel Heights / Jordan Park."
Lincoln Park / Ft. Miley,Lincoln Park / Ft. Miley Neighborhood Association,Association,https://example.org/lincolnparkftmiley-neighborhood,info@lincolnparkftmileycommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Lincoln Park / Ft. Miley."
Lincoln Park / Ft. Miley,Friends of Lincoln Park / Ft. Miley,Community Group,https://example.org/friends-of-lincolnparkftmiley,hello@friendsoflincolnparkftmiley.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Lincoln Park / Ft. Miley."
Little Hollywood,Little Hollywood Neighborhood Association,Association,https://example.org/littlehollywood-neighborhood,info@littlehollywoodcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Little Hollywood."
Little Hollywood,Friends of Little Hollywood,Community Group,https://example.org/friends-of-littlehollywood,hello@friendsoflittlehollywood.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Little Hollywood."
Lone Mountain,Lone Mountain Neighborhood Association,Association,https://example.org/lonemountain-neighborhood,info@lonemountaincommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Lone Mountain."
Lone Mountain,Friends of Lone Mountain,Community Group,https://example.org/friends-of-lonemountain,hello@friendsoflonemountain.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Lone Mountain."
Lower Haight,Lower Haight Neighborhood Association,Association,https://example.org/lowerhaight-neighborhood,info@lowerhaightcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Lower Haight."
Lower Haight,Friends of Lower Haight,Community Group,https://example.org/friends-of-lowerhaight,hello@friendsoflowerhaight.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Lower Haight."
Lower Nob Hill,Lower Nob Hill Neighborhood Association,Association,https://example.org/lowernobhill-neighborhood,info@lowernobhillcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Lower Nob Hill."
Lower Nob Hill,Friends of Lower Nob Hill,Community Group,https://example.org/friends-of-lowernobhill,hello@friendsoflowernobhill.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Lower Nob Hill."
Lower Pacific Heights,Lower Pacific Heights Neighborhood Association,Association,https://example.org/lowerpacificheights-neighborhood,info@lowerpacificheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Lower Pacific Heights."
Lower Pacific Heights,Friends of Lower Pacific Heights,Community Group,https://example.org/friends-of-lowerpacificheights,hello@friendsoflowerpacificheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Lower Pacific Heights."
Marina,Marina Neighborhood Association,Association,https://example.org/marina-assoc,info@marinaassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Marina."
Marina,Marina Merchants & Business Alliance,Business Group,https://example.org/marina-merchants,contact@marinamerchants.org,"Supporting local business, organizing seasonal art walks, and advocating for a clean, vibrant shopping district in Marina."
McLaren Park,McLaren Park Neighborhood Association,Association,https://example.org/mclarenpark-neighborhood,info@mclarenparkcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in McLaren Park."
McLaren Park,Friends of McLaren Park,Community Group,https://example.org/friends-of-mclarenpark,hello@friendsofmclarenpark.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across McLaren Park."
Merced Heights,Merced Heights Neighborhood Association,Association,https://example.org/mercedheights-neighborhood,info@mercedheightscommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Merced Heights."
Merced Heights,Friends of Merced Heights,Community Group,https://example.org/friends-of-mercedheights,hello@friendsofmercedheights.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Merced Heights."
Merced Manor,Merced Manor Neighborhood Association,Association,https://example.org/mercedmanor-neighborhood,info@mercedmanorcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Merced Manor."
Merced Manor,Friends of Merced Manor,Community Group,https://example.org/friends-of-mercedmanor,hello@friendsofmercedmanor.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Merced Manor."
Midtown Terrace,Midtown Terrace Neighborhood Association,Association,https://example.org/midtownterrace-neighborhood,info@midtownterracecommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Midtown Terrace."
Midtown Terrace,Friends of Midtown Terrace,Community Group,https://example.org/friends-of-midtownterrace,hello@friendsofmidtownterrace.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Midtown Terrace."
Mint Hill,Mint Hill Neighborhood Association,Association,https://example.org/minthill-neighborhood,info@minthillcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Mint Hill."
Mint Hill,Friends of Mint Hill,Community Group,https://example.org/friends-of-minthill,hello@friendsofminthill.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Mint Hill."
Miraloma Park,Miraloma Park Neighborhood Association,Association,https://example.org/miralomapark-neighborhood,info@miralomaparkcommunity.org,"A citizen-led community organization dedicated to neighborhood connection, public safety, street greening, and local advocacy in Miraloma Park."
Miraloma Park,Friends of Miraloma Park,Community Group,https://example.org/friends-of-miralomapark,hello@friendsofmiralomapark.org,"Volunteers organizing seasonal block meetups, neighborhood cleanups, and community mutual aid across Miraloma Park."
Mission,Mission Neighborhood Association,Association,https://example.org/mission-assoc,info@missionassoc.org,"A citizen-led group dedicated to preserving, protecting, and enhancing the quality of life in Mission."
